name,active,method,id,previousid,isattractiveitem,availability,condition,appropriateusage,accountabilityperiod,imagesourceurl
Kit documents AC,true,create,63,12345,true,Le Kit documents AC  est une malle metallique composée d’une série d’items consommables dont la liste est disponible pour chaque structure de sante.,"Ce qui nous intéresse principalement avec un kit, c’est sa livraison effective et complète au niveau de la structure de santé. Vous allez vérifier que la majorité des items des kits documents AC ont été effectivement livrée et distribuée aux destinataires (pas fermé à clé dans un bureau). ","Tous les kits documents AC sont censés être distribués aux personnes cibles. Vérifiez que cela soit le cas. Les kits documents AC doivent être utilisés par les AC. Si tout va bien, vous pouvez noter un « C’est OK ! » pour l’item dans EUSM.",12,
Kit documents formateurs,true,create,64,12345,true,Le Kit documents formateurs  est une malle metallique composée d’une série d’items consommables dont la liste est disponible pour chaque structure de sante,"Ce qui nous intéresse principalement avec un kit, c’est sa livraison effective et complète au niveau de la structure de santé. Vous allez vérifier que la majorité des items des kits documents formateurs ont été effectivement livrée et distribuée aux destinataires (pas fermé à clé dans un bureau). ","Tous les kits documents formateurs sont censés être distribués aux personnes cibles. Vérifiez que cela soit le cas. Les kits documents formateurs doivent être utilisés par les formateurs. Si tout va bien, vous pouvez noter un « C’est OK ! » pour l’item dans EUSM.",12,
Kit ECD (PPOS),true,create,75,1111,true,Souvent stocké dans les magains de la DREN et/ou CISCO,Le produit est en forme de caisse métallique contenant des matériels didactiques pour le préscolaire destinés au développement de la petite enfance,C'est un produit pré-positionné au sein des partenaires et devrait être utilisé en période d'urgence,24,
Kit materiels AC,true,create,62,12345,true,Le Kit materiels AC est une malle metallique composée d’une série d’items consommables dont la liste est disponible pour chaque structure de sante.,"Ce qui nous intéresse principalement avec un kit, c’est sa livraison effective et complète au niveau de la structure de santé. Vous allez vérifier que la majorité des items des kits materiels AC ont été effectivement livrée et distribuée aux destinataires (pas fermé à clé dans un bureau)","Tous les kits materiels AC sont censés être distribués aux personnes cibles. Vérifiez que cela soit le cas. Les kits matériels AC doivent être utilisés par les AC. Si tout va bien, vous pouvez noter un « C’est OK ! » pour l’item dans EUSM.",12,
Kit medicaments AC,true,create,61,12345,true,Le Kit medicaments AC est une malle metallique composée d’une série d’items consommables dont la liste est disponible pour chaque structure de sante,"Ce qui nous intéresse principalement avec un kit, c’est sa livraison effective et complète au niveau de la structure de santé. Vous allez vérifier que la majorité des items des kits medicaments AC ont été effectivement livrée et distribuée aux destinataires (pas fermé à clé dans un bureau). Pour les médicaments, la date limite d’utilisation n’a pas expiré.","Tous les kits medicaments AC sont censés être distribués aux personnes cibles. Vérifiez que cela soit le cas. Les kits médicaments AC doivent être utilisés par les AC. Si tout va bien, vous pouvez noter un « C’est OK ! » pour l’item dans EUSM.",12,
Kit pédagogique Préscolaire,true,create,70,1111,true,"Voici les composants de ce kit :
Cahier PM 100P	2
Cahier PM 200P	2
Cahier GM 200P	2
Cutter	1
compas	1
scotch GM Jaune	2
Chemise cartonne	1
rame papier	2
stylo 4 bleu	2
gros feutre bte 12	2
marker permanent	15
craie blanche	2
craie couleur	2
Crayon de bois bte 12	1
ciseau GM	2
gomme	3
ardoise	35
rame couleur	4
flipchart	2
crayon de couleurs bte 12	35
aquarelle	5
colle blanche	2
equerre	1
regle 40cm	1
taille crayon double	2
rapporteur	1
Carton pour mettre ces fournitures, avec LOGO UNICEF et MEN	1",,,36,
Kit récréatif,true,create,74,1111,true,Le produit est souvent placé dans les magasins des DREN et/ou des CISCO,Le produit est composé des matériels de sport et jouets pour les élèves et est embalé dans des caisses métalliques du même forme que les school in a box,Ce produit est considéré comme des matériels d'urgence pré-positionnés au niveau des partenaires,24,
Mallette prescolaire: Caissons de jeux / jouets,true,create,69,1111,true,"Voici le contenu de ce kit : 
	PUZZLES découverte du corps, decoupe selon les elements du corps : la tete, les pieds, les bras, le tronc.	Bois peint traité, 30cm x 50cm	1
Puzzle d'encastrement	En bois traités
Dim : 18x13x1.8cm
10-12 éléments, 7 couleurs assorties	2
Puzzle massif escargot	En bois traités
Dim : 18x13x1.8cm
12 éléments, 7 couleurs assorties	2
Puzzle massif cochon	En bois traités
Dim : 18x13x1.8cm
4 éléments, 4 couleurs assorties	2
	Boulier chinois	en bois traité- dimension: 32cm x 20cm	2
Bloc logique, 64 elements	en bois traité	1
Domino de couleurs	en bois traité - Boite : 19cm x 11cm x 10cm
Domino : 8cm x 4cm	2
Domino de dessins	en bois traité- - Boite : 19cm x 11cm x 10cm
Domino : 8cm x 4cm	1
Boite à cube PM	En bois traité
Dim boîte : 17x17x15cm
Dim pièce : 3.5x3.5x3.5cm
48 éléments, en 4 couleurs de base, bord arrondi
Boîtier en pin nature	1
Dominos animaux domestiques	En bois traité
Dim boîte : 19x10.5x10cm
Dim pièce : 80x40x8mm
 pièces
Boîtier en pin nature	1
Body bois et/ou plateau a enficher	En bois traité
pièces en bois coloré en 4 couleurs de base, en 4 formes différentes ;
Dim socle : 24x15x16cm
En pin nature	2
Boite à forme	En bois traité
ormes en bois : rond, carré, triangle, rectangle, en 4 couleurs de base
Faire glisser dans la boîte les 4 formes	1
Jeu de construction pour les enfants moins de 3-5 ans	En plastique  emballage	2
Ballon pour les enfants moins de 3-5 ans	 	2
Caisson pour emballage des jeux/jouets	En bois + LOGO MEN et UNICEF sur 2 cotés du caisson	1",,,36,
"Midwifery kit,1-drugs (PPOS)",true,create,80,S9902217,true,"Le kit de sage-femme représente les besoins de base en médicaments pour faciliter environ 50 accouchements normaux. Cette trousse fait partie de la ""trousse de sage-femme - complète"" et de la ""trousse obstétricale et chirurgicale - complète"".",,,24,
Moto,true,create,38,Z216,true,Verifier le marque et le modele ainsi que le numero de chassis dans l'appli EUSM,Verifiez que la moto fonctionne,"Des motos fournies par l'UNICEF a un partenaire doivent etre utilises strictement pour des activites de developpement du partenaire - toute autre utilisation non-autorisee est frauduleuse et strictement interdite. Essayez aussi de verifier que les documents du vehicule sont a jour - carte de visite, assurance, attestation d'entretien regulier, et verifiez l'existence et l'utilisation du carnet de bord",60,
Ordinateur Desktop,true,create,18,11111,true,Verifier le marque et le modele ainsi que le numero de serie dans l'appli EUSM,Verifier si l'ordinateur fonctionne. Il aura besoin d'un branchement a une source d'electricite pour fonctionner,Le nom du produit doit inclure des informations sur la destination exacte de cet ordinateur et le travail pour lequel on en a besoin.,36,
Ordinateur Laptop,true,create,31,Z2140101,true,Verifier la marque et modele ainsi que le numero de serie dans l'appli EUSM,Verifier que le laptop fonctionne. Il devrait avoir un chargeur,,36,
Panneau Solaire,true,create,22,11111,true,"Le panneau solaire est normalement fixe sur le toit de l'etablissement qu'il dessert. Marque Sunny Sky modele TYM150W, puissance 150Wc
Pour faire fonctionner le panneau, il faudrait egalement un Controleur de Charge Solaire (type MPPT Solar Controller TYC-30IR) ; un Convertisseur 500VA ainsi qu'une Batterie gel 12V150AH",Le panneau doit etre correctement branche et capable d'alimenter le point de service en l'energie necessaire. Verifier la disponibilite d'electricite,L'electricite generee par le panneau solaire doit etre utilise pour les fins du programme de partenariat d'UNICEF. Verifier que cela est le cas,36,
Point d'eau - AEPP systeme solaire,true,create,26,11111,true,"Vous devrez demander à l'opérateur privé ou au gestionnaire du point d'eau où se trouvent les panneaux solaires et le forage (en gardant à l'esprit qu'il peut y en avoir plusieurs au même endroit, ou qu'il peut être situé quelque part en dehors du centre-village). Avec l'opérateur, localisez les panneaux photo-voltaïques et vérifiez si les panneaux sont en place et non cassés). Demandez-leur de vous montrer le forage relié aux panneaux.",Vérifiez si le site est bien clôturé et que tous les panneaux sont en place et bien protégés. Les panneaux ne doivent pas être à l'ombre ou sales. Demandez à l'opérateur s'il n'y a pas de tuyau ou de câble cassé qui relie les panneaux au forage,"Vérifiez l'onduleur de la pompe pour voir s'il mentionne RUN / ON le jour de votre visite. Dans le cas où vous voyez OFF / Low Power / Low voltage, cela peut être un problème avec les panneaux photovoltaïques",120,
Point d'eau - Forage Mecanique,true,create,25,11111,true,"Vous devrez vous renseigner auprès du gestionnaire du point d'eau / association des utilisateurs du village où se trouve la pompe à main (en gardant à l'esprit qu'il peut y en avoir plusieurs dans un village, ou qu'elle peut être située quelque part en dehors du village)",Testez la pompe afin de vérifier qu'elle produit de l'eau. un seau / jerrycan de 20 litres doit être rempli avec 1 à 3 minutes de pompage. Demandez aux habitants si la pompe produit de l'eau à tout moment lorsque cela est nécessaire et tout au long de l'année.,Demandez aux habitants si la pompe est utilisée par toute la population? Cela fonctionne-t-il jusqu'à 6 heures par jour? Demandez s'il existe une heure d'ouverture convenue et programmée pour les utilisateurs? Et un moyen de paiement fonctionnel? Les populations vulnérables ont-elles accès à la pompe et l'utilisent-elles?,120,
"Portable solar charger,62W",true,create,89,SL007157,true,Aupres des Intervenants Sociaux du Guichet Social,Materiel neuf,Pour charger les tablettes,24,
Projecteur,true,create,30,Z2140103,true,Verifier le marque et le modele ainsi que le numero de serie dans l'appli EUSM,Verifier si le projecteur fonctionne. Il aura besoin d'un branchement a une source d'electricite pour fonctionner,,36,
Smartphone,true,create,34,Z21506,true,Verifier le marque et le modele ainsi que le numero de serie dans l'appli EUSM,Verifier que le smartphone fonctionne. Il devrait avoir un chargeur,,24,
Table chauffante,true,create,,111,true,CHRD Betioky,oui le produit est en bon etat,,3,
Tablette Informatique,true,create,32,Z21506,true,Verifier le marque et le modele ainsi que le numero de serie dans l'appli EUSM,Verifier que la tablette fonctionne. Elle devrait avoir un chargeur,La tablette est fournie aux partenaires d'UNICEF pour la collecte et l'analyse des donnees. Le partenaire pourrait vous montrer comment ils l'utilisent dans ce sens.,24,
Televiseur,true,create,23,11111,true,Verifier le marque et le modele ainsi que le numero de serie dans l'appli EUSM,Verifier si la televiseur fonctionne. Elle aura besoin d'un branchement a une source d'electricite pour fonctionner,Le nom du produit doit inclure des informations sur la destination exacte de cet ordinateur et le travail pour lequel on en a besoin.,36,
Tente (PPOS),true,create,76,1111,true,Tente prépositionnée pour faire face aux urgences.,Tente en bon état,,12,
Vehicule 4x4,true,create,36,Z216,true,Verifier le marque et le modele ainsi que le numero de serie dans l'appli EUSM,Verifiez que le vehicule fonctionne,"Des vehicules fournis par l'UNICEF a un partenaire doivent etre utilises strictement pour des activites de developpement du partenaire - toute autre utilisation non-autorisee est frauduleuse et strictement interdite. Essayez aussi de verifier que les documents du vehicule sont a jour - carte de visite, assurance, attestation d'entretien regulier, et verifiez l'existence et l'utilisation du carnet de bord",60,
Vehicule autre,true,create,37,Z216,true,Verifier le marque et le modele ainsi que le numero de serie dans l'appli EUSM,Verifiez que le vehicule fonctionne,"Des vehicules fournis par l'UNICEF a un partenaire doivent etre utilises strictement pour des activites de developpement du partenaire - toute autre utilisation non-autorisee est frauduleuse et strictement interdite. Essayez aussi de verifier que les documents du vehicule sont a jour - carte de visite, assurance, attestation d'entretien regulier, et verifiez l'existence et l'utilisation du carnet de bord",60,
